timeStamp,linearSpeed(m/s)
0.1265733242034912,0.0
0.24560070037841797,1.6414721463999664
0.3653140068054199,1.7292251809025199
0.4848818778991699,2.0184311290700494
0.5945053100585938,1.8623559845913877
0.7001838684082031,1.8023492346824026
0.8157601356506348,1.6549525140877135
0.9283843040466309,1.4992352323980223
1.0489897727966309,1.4302361722010708
1.1587438583374023,1.3058491529540464
1.2764308452606201,1.1613148448153054
1.3900527954101562,1.0586829987786712
1.5275919437408447,0.9547512194478002
1.6661276817321777,0.8861366264869779
1.780742883682251,0.8401882184330061
1.8874201774597168,0.784298231408303
2.003091812133789,0.7193274166142806
2.112678050994873,0.6594778911929302
2.246279716491699,0.5915468718196228
2.3877668380737305,0.37227280188271533
2.508352756500244,0.2718435085257183
2.6191372871398926,0.18702600389777674
2.7269678115844727,0.1400884431114555
2.838592529296875,0.08835698849409265
2.9568612575531006,0.0380895795869953
3.086430311203003,0.031174763267726693
3.215991735458374,0.044052114982733294
3.3415768146514893,0.059455846652434995
3.457193374633789,0.058712964259723464
3.5757980346679688,0.05638912742024759
3.6834771633148193,0.05875160919340638
3.8057193756103516,0.056237973903839215
3.932300329208374,0.05536112374252472
4.046914577484131,0.050306971916526964
4.15693998336792,0.049379131344434564
4.274968862533569,0.04846838667307756
4.3816187381744385,0.047626727355906964
4.49135422706604,0.046685017927166256
4.609986782073975,0.040988859123943205
4.723658561706543,0.03851436675076791
4.834413766860962,0.030109015085984247
4.946990251541138,0.011326591231308683
5.063599586486816,0.03179667157593669
5.177222490310669,0.05085816438986408
5.301806926727295,0.08672959849177
5.418412685394287,0.12874157821270252
5.528151035308838,0.15834316311415209
5.647666692733765,0.17365507559084212
5.761359691619873,0.19078197071317476
5.870995283126831,0.20995406340569395
5.982752323150635,0.20997119016050053
6.098302125930786,0.20952897552039212
6.209928274154663,0.21781830468454597
6.327536344528198,0.217398290264837
6.435256719589233,0.22219491123343602
6.544090032577515,0.22073830909922967
6.66365909576416,0.22096603065671058
6.776269197463989,0.22104943602748098
6.882012367248535,0.21671953716561848
6.991824150085449,0.21802783152473298
7.104382514953613,0.21479766007171125
